feature,importance
regime_state,0.5789865
amihud_illiquidity,0.18668447
volatility_percentile,0.15773396
predicted_volatility,0.02966742
atr_expansion_ratio,0.022978963
regime_confidence,0.012042618
momentum_probability,0.0119060045
