timestamp,raw_regime,overridden_regime,atr_ratio,reason
2026-05-05 13:45:00+00:00,trending_low_vol,trending_high_vol,1.6150748773907866,ATR ratio 1.62 > 1.40 -> trending_high_vol
2026-05-05 14:00:00+00:00,trending_low_vol,trending_high_vol,1.6391286208760318,ATR ratio 1.64 > 1.40 -> trending_high_vol
2026-05-05 14:15:00+00:00,trending_low_vol,trending_high_vol,1.7566237681513375,ATR ratio 1.76 > 1.40 -> trending_high_vol
2026-05-05 14:30:00+00:00,trending_low_vol,trending_high_vol,1.7314674181528686,ATR ratio 1.73 > 1.40 -> trending_high_vol
2026-05-05 14:45:00+00:00,trending_low_vol,trending_high_vol,1.6268335488859136,ATR ratio 1.63 > 1.40 -> trending_high_vol
2026-05-08 14:15:00+00:00,trending_low_vol,trending_high_vol,1.5123948123037234,ATR ratio 1.51 > 1.40 -> trending_high_vol
2026-05-10 16:15:00+00:00,trending_low_vol,trending_high_vol,1.6076456026594423,ATR ratio 1.61 > 1.40 -> trending_high_vol
2026-05-10 16:30:00+00:00,trending_low_vol,trending_high_vol,1.5198067580419723,ATR ratio 1.52 > 1.40 -> trending_high_vol
2026-05-10 16:45:00+00:00,trending_low_vol,trending_high_vol,1.4661942156692933,ATR ratio 1.47 > 1.40 -> trending_high_vol
2026-05-10 17:00:00+00:00,trending_low_vol,trending_high_vol,1.482184490433338,ATR ratio 1.48 > 1.40 -> trending_high_vol
2026-05-10 17:15:00+00:00,trending_low_vol,trending_high_vol,1.4020073029321538,ATR ratio 1.40 > 1.40 -> trending_high_vol
2026-05-10 20:45:00+00:00,trending_low_vol,trending_high_vol,1.4190080693533083,ATR ratio 1.42 > 1.40 -> trending_high_vol
2026-05-10 21:00:00+00:00,trending_low_vol,trending_high_vol,1.4825266580966692,ATR ratio 1.48 > 1.40 -> trending_high_vol
2026-05-10 21:15:00+00:00,trending_low_vol,trending_high_vol,1.439177616987899,ATR ratio 1.44 > 1.40 -> trending_high_vol
2026-05-11 13:30:00+00:00,trending_low_vol,trending_high_vol,1.4158068393029994,ATR ratio 1.42 > 1.40 -> trending_high_vol
2026-05-12 13:45:00+00:00,trending_low_vol,trending_high_vol,1.42174839795351,ATR ratio 1.42 > 1.40 -> trending_high_vol
2026-05-12 14:00:00+00:00,trending_low_vol,trending_high_vol,1.4776520406139035,ATR ratio 1.48 > 1.40 -> trending_high_vol
2026-05-12 14:15:00+00:00,trending_low_vol,trending_high_vol,1.481783583909615,ATR ratio 1.48 > 1.40 -> trending_high_vol
2026-05-12 14:30:00+00:00,trending_low_vol,trending_high_vol,1.627458084274884,ATR ratio 1.63 > 1.40 -> trending_high_vol
2026-05-12 14:45:00+00:00,trending_low_vol,trending_high_vol,1.6077044348453309,ATR ratio 1.61 > 1.40 -> trending_high_vol
2026-05-12 15:00:00+00:00,trending_low_vol,trending_high_vol,1.532095957464608,ATR ratio 1.53 > 1.40 -> trending_high_vol
2026-05-13 12:15:00+00:00,trending_low_vol,trending_high_vol,1.4318923686305758,ATR ratio 1.43 > 1.40 -> trending_high_vol
